Team 1,Team 2,Venue,Day,Hour
Olympique Lyonnais,Valencia CF,Stamford Bridge,1,10
Bayer Leverkusen,Besiktas JK,Tottenham Hotspur Stadium,1,14
FC Spartak Moscow,West Ham United FC,Stade Vélodrome,2,10
Valencia CF,Besiktas JK,Stade Vélodrome,3,8
FC Shakhtar Donetsk,Bayer Leverkusen,Stade Vélodrome,3,12
Valencia CF,Galatasaray SK,Stamford Bridge,6,8
Olympique Lyonnais,Besiktas JK,Tottenham Hotspur Stadium,7,10
FC Spartak Moscow,Bayer Leverkusen,Stade Vélodrome,7,14
Everton FC,Olympiacos FC,Stamford Bridge,8,8
West Ham United FC,Bayer Leverkusen,Stamford Bridge,8,14
Olympiacos FC,FC Spartak Moscow,Tottenham Hotspur Stadium,10,8
West Ham United FC,Galatasaray SK,Stade Vélodrome,10,8
Everton FC,Besiktas JK,Stamford Bridge,10,14
FC Shakhtar Donetsk,West Ham United FC,Stade Vélodrome,13,8
Galatasaray SK,Besiktas JK,Stade Vélodrome,13,14
Everton FC,FC Spartak Moscow,Stamford Bridge,14,12
Valencia CF,Bayer Leverkusen,Stamford Bridge,15,8
FC Shakhtar Donetsk,Galatasaray SK,Stade Vélodrome,15,10
Olympiacos FC,West Ham United FC,Stade Vélodrome,15,14
Olympique Lyonnais,FC Spartak Moscow,Stade Vélodrome,15,18
Olympiacos FC,Bayer Leverkusen,Stamford Bridge,17,12
Olympique Lyonnais,West Ham United FC,Stamford Bridge,18,12
FC Spartak Moscow,Valencia CF,Tottenham Hotspur Stadium,18,12
Olympiacos FC,Valencia CF,Stamford Bridge,19,12
Galatasaray SK,Bayer Leverkusen,Stade Vélodrome,19,14
Everton FC,FC Shakhtar Donetsk,Stade Vélodrome,20,8
FC Spartak Moscow,Besiktas JK,Stamford Bridge,20,8
Olympique Lyonnais,Everton FC,Stamford Bridge,21,10
West Ham United FC,Besiktas JK,Tottenham Hotspur Stadium,22,11
Olympiacos FC,Galatasaray SK,Stamford Bridge,22,14
Olympique Lyonnais,FC Shakhtar Donetsk,Stade Vélodrome,23,10
Everton FC,Valencia CF,Stamford Bridge,23,14
Olympiacos FC,Besiktas JK,Stamford Bridge,24,8
FC Shakhtar Donetsk,FC Spartak Moscow,Stade Vélodrome,24,14
Olympique Lyonnais,Galatasaray SK,Tottenham Hotspur Stadium,25,8
Everton FC,West Ham United FC,Stade Vélodrome,25,14
FC Shakhtar Donetsk,Olympiacos FC,Tottenham Hotspur Stadium,27,8
Valencia CF,West Ham United FC,Stamford Bridge,27,10
Everton FC,Galatasaray SK,Stade Vélodrome,27,14
Olympique Lyonnais,Bayer Leverkusen,Stamford Bridge,28,14
Olympique Lyonnais,Olympiacos FC,Stade Vélodrome,29,8
FC Shakhtar Donetsk,Besiktas JK,Stamford Bridge,29,8
FC Shakhtar Donetsk,Valencia CF,Stade Vélodrome,30,8
FC Spartak Moscow,Galatasaray SK,Tottenham Hotspur Stadium,30,12
Everton FC,Bayer Leverkusen,Stade Vélodrome,30,12
